part,family,core,flash_start,flash_size,ram_start,ram_size
py32f071cx8,py32f071cxx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f071cx9,py32f071cxx,m0,0x08000000,0x18000,0x20000000,0x3000
py32f071cxb,py32f071cxx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f071ex6,py32f071exx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f071ex8,py32f071exx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f071ex9,py32f071exx,m0,0x08000000,0x18000,0x20000000,0x3000
py32f071exb,py32f071exx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f071x6,py32f071xx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f071x8,py32f071xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f071x9,py32f071xx,m0,0x08000000,0x18000,0x20000000,0x3000
py32f071xb,py32f071xx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f072cx6,py32f072cxx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f072cx8,py32f072cxx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f072cx9,py32f072cxx,m0,0x08000000,0x18000,0x20000000,0x3000
py32f072cxb,py32f072cxx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f072ex6,py32f072exx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f072ex8,py32f072exx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f072ex9,py32f072exx,m0,0x08000000,0x18000,0x20000000,0x3000
py32f072exb,py32f072exx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f072x6,py32f072xx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f072x8,py32f072xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f072x9,py32f072xx,m0,0x08000000,0x18000,0x20000000,0x3000
py32f072xb,py32f072xx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f403xb,py32f403xx,m4,0x08000000,0x20000,0x20000000,0x10000
py32f403xc,py32f403xx,m4,0x08000000,0x40000,0x20000000,0x10000
py32f403xd,py32f403xx,m4,0x08000000,0x60000,0x20000000,0x10000
py32f410xb,py32f410xx,m4,0x08000000,0x20000,0x20000000,0x4000
py32l020x5,py32l020xx,m0,0x08000000,0x6000,0x20000000,0xc00
py32l090xb,py32l090xx,m0,0x08000000,0x20000,0x20000000,0x4000
py32l090xc,py32l090xx,m0,0x08000000,0x40000,0x20000000,0x8000
py32m010x5,py32m010xx,m0,0x08000000,0x6000,0x20000000,0xc00
py32m020x6,py32m020xx,m0,0x08000000,0x8000,0x20000000,0x1000
py32m030x8,py32m030xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32m031x8,py32m031xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32m070cxb,py32m070cxx,m0,0x08000000,0x20000,0x20000000,0x4000
py32m070xb,py32m070xx,m0,0x08000000,0x20000,0x20000000,0x4000
py32md310x8,py32md310xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32md320x8,py32md320xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32md410x8,py32md410xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32md420x8,py32md420xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32md430x8,py32md430xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32t020bx5,py32t020xx,m0,0x08000000,0x5000,0x20000000,0x800
py32t020bx6,py32t020xx,m0,0x08000000,0x8000,0x20000000,0x1000
py32t020x5,py32t020xx,m0,0x08000000,0x5000,0x20000000,0x800
py32t020x6,py32t020xx,m0,0x08000000,0x8000,0x20000000,0x1000
py32t090xb,py32t090xx,m0,0x08000000,0x20000,0x20000000,0x4000
py32t090xc,py32t090xx,m0,0x08000000,0x40000,0x20000000,0x8000
py32t092xc,py32t092xx,m0,0x08000000,0x40000,0x20000000,0x8000
